,Team,Name,Age,PER,dIQ,Dnk,Drb,End,2Pt,FT,Ins,Jmp,oIQ,Pss,Reb,Spd,Str,3Pt,Hgt,Ovr
0,SA,Alexis Ajinça,33,11.837933098933595,55,52,36,52,54,48,57,43,46,35,43,35,55,46,72,55
1,TOR,LaMarcus Aldridge (TO),36,16.33166133271723,44,74,61,60,78,65,67,55,59,53,73,54,74,34,62,63
2,FA,Lavoy Allen,32,12.650627585746264,52,51,56,31,48,55,45,41,48,47,69,40,48,57,60,54
3,FA,Al-Farouq Aminu,31,12.358554110756028,62,58,45,40,30,40,36,42,40,40,59,52,55,37,52,52
4,FA,James Anderson,32,13.834405653569442,44,50,62,18,55,57,47,46,65,51,62,42,48,64,44,52
5,DEN,Ryan Anderson,33,16.70281749420881,45,58,60,51,65,62,41,42,62,47,72,44,57,76,55,60
6,MEM,Carmelo Anthony,37,13.335112449928578,57,75,54,65,64,62,75,47,64,45,61,57,78,47,51,65
7,FA,Trevor Ariza,36,13.366443706704915,42,36,58,33,36,34,29,50,42,57,46,56,48,32,51,46
8,HOU,Andrea Bargnani,36,12.36732460065156,35,51,42,43,48,58,63,61,46,48,45,50,59,68,66,56
9,FA,Brandon Bass,36,12.307659417742936,42,68,40,46,61,42,39,41,25,38,51,37,51,33,56,38
10,CHI,Nicolas Batum,33,13.85429828447544,38,58,56,54,60,53,31,64,46,61,64,65,55,45,55,58
11,SAC,Jerryd Bayless,33,20.606795792345647,51,54,77,49,63,60,70,58,65,79,61,66,44,59,34,62
12,HOU,Michael Beasley,32,12.660131639100214,45,76,50,70,64,57,58,60,47,51,63,64,61,54,55,61
13,MIA,Bismack Biyombo,29,10.17902020272468,48,62,54,48,24,30,46,52,54,39,58,54,64,45,63,58
14,SA,DeJuan Blair,32,9.368485853274937,53,55,47,44,41,33,59,19,49,51,71,31,61,37,53,47
15,FA,Eric Bledsoe,32,8.014704422658873,64,37,60,40,35,56,36,44,38,57,38,41,46,52,42,50
16,FA,Chris Bosh,37,13.160396048099638,51,62,49,43,38,50,48,47,30,40,55,39,60,58,62,52
17,CHI,MarShon Brooks,32,10.830612206104758,44,52,67,49,61,58,64,59,60,50,55,57,52,62,40,58
18,FA,Chase Budinger,33,7.5961089241130955,44,28,56,40,62,60,36,53,49,36,52,44,51,66,48,50
19,LAC,Alec Burks (PO),30,23.650775975384516,67,83,78,64,64,64,89,66,80,65,70,69,89,67,44,77
20,IND,Andrew Bynum,34,23.044207501105877,50,68,50,44,49,58,83,50,62,59,81,52,88,32,68,64
21,FA,Omri Casspi,33,11.847867446149767,41,56,54,51,56,42,34,49,37,53,57,44,51,59,55,51
22,FA,Mario Chalmers,35,8.85270478699128,59,31,62,53,40,44,27,42,30,68,37,54,41,48,35,47
23,FA,Darren Collison,34,6.4160878987651015,25,30,66,53,44,50,27,61,52,55,48,66,41,42,29,44
24,BOS,Mike Conley,34,12.831154866401894,62,40,75,68,65,62,32,62,49,67,48,74,51,49,27,61
25,FA,Daequan Cook,34,7.928872376497412,48,52,44,37,64,60,19,57,44,35,40,44,43,84,42,49
26,MEM,DeMarcus Cousins (PO),31,19.50347097130478,72,79,60,70,51,47,93,42,76,61,84,37,94,42,62,72
27,HOU,Jordan Crawford (PO),33,14.472825192191635,46,61,67,62,62,67,68,55,58,64,60,45,66,58,37,59
28,MEM,Stephen Curry (PO),33,21.640504224758693,63,48,84,66,81,87,68,70,62,83,63,69,55,87,37,72
29,FA,Glen Davis,35,10.910236464978823,49,54,37,52,36,30,38,29,57,44,65,34,59,32,55,48
30,CHA,Austin Daye,33,12.154099926526587,43,49,61,39,56,52,42,64,39,49,40,60,37,49,62,55
31,WAS,Luol Deng,36,6.733549092065939,48,51,58,55,46,42,35,65,44,46,58,54,50,40,55,55
