Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Arron Afflalo,DET,36,57.0,53.0,-4.020,1.302,49.0,56.0,51.0,52.0,54.0,55.0,0.000
Alexis Ajinça,SA,33,58.0,55.6,-2.431,0.667,54.0,58.0,55.0,55.0,56.0,56.0,0.000
LaMarcus Aldridge (PO),TOR,36,68.0,65.5,-2.476,0.678,64.0,67.0,65.0,65.0,66.0,66.0,0.000
Lavoy Allen,CHI,32,54.0,50.0,-4.022,1.081,46.0,53.0,49.0,49.0,51.0,51.0,0.000
Ray Allen,FA,46,43.0,37.1,-5.864,1.249,34.0,41.0,36.0,36.0,38.0,39.0,0.000
Al-Farouq Aminu,MIN,31,53.0,47.2,-5.811,0.954,44.0,50.0,46.0,47.0,48.0,48.0,0.000
James Anderson (PO),MEM,32,57.0,54.2,-2.781,0.791,52.0,56.0,53.0,54.0,55.0,55.0,0.000
Ryan Anderson (PO),MIA,33,60.0,58.9,-1.107,0.578,58.0,60.0,58.0,59.0,59.0,60.0,0.000
Carmelo Anthony (PO),MEM,37,72.0,68.5,-3.524,0.777,66.0,70.0,68.0,68.0,69.0,69.0,0.000
Trevor Ariza,MIA,36,59.0,55.4,-3.568,0.887,52.0,58.0,54.0,55.0,56.0,57.0,0.000
D.J. Augustin,UTA,34,53.0,48.1,-4.873,1.079,45.0,51.0,47.0,47.0,49.0,49.0,0.000
Gustavo Ayón,POR,36,50.0,43.0,-7.002,1.432,39.0,47.0,41.0,42.0,44.0,45.0,0.000
Andrea Bargnani (PO),SAC,36,64.0,60.3,-3.663,0.875,58.0,63.0,59.0,60.0,61.0,61.0,0.000
Brandon Bass,WAS,36,57.0,52.0,-5.013,1.398,48.0,55.0,50.0,51.0,53.0,54.0,0.000
Nicolas Batum (PO),TOR,33,63.0,59.8,-3.160,0.659,58.0,62.0,59.0,59.0,60.0,61.0,0.000
Jerryd Bayless (TO),CHI,33,62.0,60.6,-1.408,0.564,59.0,62.0,60.0,60.0,61.0,61.0,0.000
Michael Beasley,GSW,32,64.0,62.7,-1.342,0.568,61.0,64.0,62.0,62.0,63.0,63.0,0.000
Rodrigue Beaubois,FA,33,41.0,39.1,-1.870,0.929,37.0,42.0,38.0,39.0,40.0,40.0,0.001
Marco Belinelli,DET,35,53.0,45.7,-7.277,1.631,40.0,50.0,44.0,45.0,47.0,48.0,0.000
Bismack Biyombo,POR,29,56.0,55.9,-0.065,1.160,54.0,66.0,55.0,55.0,56.0,57.0,0.152
DeJuan Blair,MIN,32,56.0,52.6,-3.377,1.049,49.0,55.0,51.0,52.0,53.0,54.0,0.000
Eric Bledsoe,UTA,32,55.0,49.5,-5.452,1.108,46.0,53.0,48.0,49.0,50.0,51.0,0.000
Andrew Bogut,FA,37,43.0,36.5,-6.471,1.209,33.0,40.0,35.0,36.0,37.0,38.0,0.000
Carlos Boozer,FA,40,37.0,32.4,-4.606,0.971,30.0,35.0,31.0,32.0,33.0,34.0,0.000
Chris Bosh  (PO),ATL,37,64.0,60.5,-3.497,0.769,59.0,63.0,60.0,60.0,61.0,61.0,0.000
Avery Bradley,FA,31,48.0,42.4,-5.577,0.920,40.0,45.0,41.0,42.0,43.0,44.0,0.000
